201571 normal 27 808.19
201571 slow 28 677.07
201572 fast 5 10.36
201572 normal 105 7122.59
201572 slow 106 4763.57
201573 fast 2 11.68
201573 normal 79 4254.94
201573 slow 79 3074.22
201574 fast 6 18.29
201574 normal 98 11592.6
201574 slow 99 7036.6
201575 fast 26 83.14
201575 normal 98 50592.3
201575 slow 99 27269.0
201577 fast 2 0.68
201577 normal 98 5414.3
201577 slow 98 3423.01
201578 fast 15 36.19
201578 normal 78 25964.12
201578 slow 79 19265.59
201579 fast 4 6.66
201579 normal 85 5439.33
201579 slow 86 3597.56
201580 fast 0 0.0
201580 normal 41 1752.37
201580 slow 42 951.91
201581 fast 0 0.0
201581 normal 85 1313.54
201581 slow 86 951.95
201582 fast 4 11.64
201582 normal 81 2003.45
201582 slow 82 1315.19
201583 fast 8 17.32
201583 normal 160 7182.78
201583 slow 161 4824.3
201584 fast 9 33.78
201584 normal 103 7687.89
201584 slow 104 4585.93
201585 fast 1 0.25
201585 normal 100 5475.48
201585 slow 100 3053.47
201586 fast 2 7.32
201586 normal 57 2120.58
201586 slow 57 1717.42
201587 fast 0 0.0
201587 normal 112 6204.01
201587 slow 113 3622.61
201588 fast 2 7.05
201588 normal 120 5622.06
201588 slow 120 3420.78
201589 fast 5 27.83
201589 normal 125 9111.11
201589 slow 126 5729.02
201593 fast 3 3.61
201593 normal 60 939.92
201593 slow 59 710.69
201596 fast 0 0.0
201596 normal 39 1070.87
201596 slow 39 712.35
201599 fast 2 8.51
201599 normal 100 5169.67
201599 slow 101 4168.65
201600 fast 1 0.78
201600 normal 62 2376.09
201600 slow 63 1687.03
201603 fast 1 0.61
201603 normal 62 2465.39
201603 slow 63 1408.36
201609 fast 6 33.87
201609 normal 93 8299.16
201609 slow 94 5118.31
201619 fast 2 1.85
201619 normal 71 3117.48
201619 slow 72 2399.86
201933 fast 2 6.63
201933 normal 103 5415.63
201933 slow 103 4471.57
201935 fast 1 0.84
201935 normal 81 4591.49
201935 slow 82 3626.33
201936 fast 4 29.03
201936 normal 58 2250.02
201936 slow 59 1591.04
201937 fast 2 5.1
201937 normal 87 2095.02
201937 slow 87 1113.48
201939 fast 54 279.7
201939 normal 166 113428.89
201939 slow 165 72432.12
201941 fast 2 0.92
201941 normal 100 5418.09
201941 slow 100 3305.55
201942 fast 4 8.29
201942 normal 146 11760.92
201942 slow 146 8319.84
201945 fast 2 8.35
201945 normal 93 3371.46
201945 slow 93 1752.05
201946 fast 0 0.0
201946 normal 54 963.21
201946 slow 54 516.06
201949 fast 0 0.0
201949 normal 68 3361.33
201949 slow 69 2004.81
201950 fast 9 21.58
201950 normal 71 4433.42
201950 slow 72 2600.75
201951 fast 2 0.85
201951 normal 54 1890.28
201951 slow 53 1155.86
201952 fast 2 3.53
201952 normal 36 1610.54
201952 slow 37 974.4
201954 fast 10 34.27
201954 normal 128 8229.5
201954 slow 128 5032.46
201956 fast 5 34.07
201956 normal 130 8086.18
201956 slow 131 4690.97
201959 fast 0 0.0
201959 normal 73 4806.44
201959 slow 73 3007.96
201960 fast 10 47.57
201960 normal 138 8301.84
201960 slow 138 5780.82
201961 fast 3 20.63
201961 normal 66 3647.57
201961 slow 67 1839.49
201962 fast 0 0.0
201962 normal 71 2411.85
201962 slow 72 1051.35
201967 fast 4 25.01
201967 normal 128 8375.74
201967 slow 129 3835.94
201973 fast 3 1.01
201973 normal 46 1299.91
201973 slow 47 781.54
201976 fast 7 11.37
201976 normal 79 5417.49
201976 slow 79 2531.83
201977 fast 6 14.94
201977 normal 75 3340.41
201977 slow 75 2232.78
201978 fast 3 3.55
201978 normal 82 4480.18
201978 slow 83 2695.5
202066 fast 7 29.81
202066 normal 97 4917.07
202066 slow 98 2950.49
202083 fast 3 4.89
202083 normal 100 5202.23
202083 slow 101 2958.71
202087 fast 7 40.4
202087 normal 142 5310.92
202087 slow 140 2950.41
202322 fast 14 52.83
202322 normal 100 5549.85
202322 slow 101 4009.19
202323 fast 1 18.68
202323 normal 77 5080.68
202323 slow 78 3525.12
202324 fast 7 14.74
202324 normal 109 8305.65
202324 slow 110 5479.69
202325 fast 2 5.96
202325 normal 46 2512.42
202325 slow 46 1238.56
202326 fast 1 1.43
202326 normal 103 2998.46
202326 slow 103 2375.15
202328 fast 5 5.88
202328 normal 94 9078.39
202328 slow 95 7759.07
202329 fast 5 21.14
202329 normal 116 6639.58
202329 slow 116 3406.24
202330 fast 12 34.92
202330 normal 121 9362.84
202330 slow 122 5272.47
202331 fast 7 12.75
202331 normal 131 9453.49
202331 slow 132 5360.0
202334 fast 1 3.81
202334 normal 111 4253.26
202334 slow 112 2827.39
202335 fast 12 37.49
202335 normal 143 7379.57
202335 slow 141 5592.61
202337 fast 7 12.81
202337 normal 123 3548.45
202337 slow 124 1710.65
202338 fast 0 0.0
202338 normal 42 960.14
202338 slow 43 555.25
202339 fast 4 34.71
202339 normal 115 5967.85
202339 slow 115 3385.94
202340 fast 7 23.34
202340 normal 128 5847.04
202340 slow 128 3650.44
202341 fast 3 12.2
202341 normal 85 4056.03
202341 slow 86 1998.88
202344 fast 10 18.35
202344 normal 76 5139.06
202344 slow 77 2744.12
202349 fast 0 0.0
202349 normal 50 3094.28
202349 slow 51 2158.65
202355 fast 1 6.36
202355 normal 118 4164.24
202355 slow 119 2903.55
202357 fast 1 4.44
202357 normal 124 4005.81
202357 slow 125 2180.7
202362 fast 1 4.55
202362 normal 86 2081.17
202362 slow 87 1085.5
202379 fast 0 0.0
202379 normal 55 563.06
202379 slow 56 258.66
202388 fast 0 0.0
202388 normal 48 2022.7
202388 slow 49 1309.53
202389 fast 5 24.95
202389 normal 119 49850.38
202389 slow 119 28779.38
202390 fast 6 45.22
202390 normal 65 1744.84
202390 slow 66 1057.83
202391 fast 6 20.47
202391 normal 129 5902.86
202391 slow 130 3245.04
202397 fast 12 73.37
202397 normal 173 7623.88
202397 slow 174 4447.2
202498 fast 4 6.48
202498 normal 85 5195.56
202498 slow 86 3192.02
202681 fast 16 80.74
202681 normal 108 23017.98
202681 slow 109 16644.64
202682 fast 2 8.32
202682 normal 60 3584.33
202682 slow 60 2446.83
202683 fast 0 0.0
202683 normal 33 1238.62
202683 slow 34 696.22
202684 fast 34 115.32
202684 normal 143 78926.09
202684 slow 144 51730.94
202685 fast 1 1.29
202685 normal 102 4112.35
202685 slow 103 3012.71
202687 fast 8 19.0
202687 normal 88 5474.29
202687 slow 88 3611.1
202688 fast 5 22.37
202688 normal 122 8887.3
202688 slow 123 4726.58
202689 fast 7 27.99
202689 normal 134 8740.55
202689 slow 135 5469.45
202691 fast 50 211.82
202691 normal 130 112091.35
202691 slow 131 72083.97
202692 fast 9 40.15
202692 normal 111 7783.72
202692 slow 111 4633.0
202693 fast 1 0.56
202693 normal 84 1254.89
202693 slow 84 895.95
202694 fast 5 31.06
202694 normal 110 6484.76
202694 slow 110 3806.34
202696 fast 0 0.0
202696 normal 108 4438.45
202696 slow 109 2944.5
202697 fast 24 90.86
202697 normal 120 34820.05
202697 slow 121 19013.12
202699 fast 1 4.25
202699 normal 108 4973.43
202699 slow 109 2888.01
202700 fast 0 0.0
202700 normal 41 577.78
202700 slow 41 299.83
202702 fast 7 22.93
202702 normal 109 7647.62
202702 slow 110 5254.69
202703 fast 1 2.17
202703 normal 124 6640.83
202703 slow 124 3802.46
202704 fast 6 18.47
202704 normal 106 5431.94
202704 slow 107 3229.62
202708 fast 0 0.0
202708 normal 56 1109.43
202708 slow 57 677.88
202709 fast 10 37.63
202709 normal 184 9012.95
202709 slow 183 5103.05
202710 fast 7 33.3
202710 normal 137 9677.37
202710 slow 137 5694.56
202711 fast 4 14.45
202711 normal 92 6772.84
202711 slow 91 4081.85
202713 fast 0 0.0
202713 normal 51 1102.32
202713 slow 52 642.36
202714 fast 0 0.0
202714 normal 26 460.72
202714 slow 27 244.0
202718 fast 6 8.26
202718 normal 93 5613.5
202718 slow 94 3174.51
202720 fast 0 0.0
202720 normal 87 4132.75
202720 slow 88 2546.03
202730 fast 2 19.32
202730 normal 109 4250.52
202730 slow 110 2855.69
202734 fast 3 10.5
202734 normal 83 5453.09
202734 slow 84 2622.37
202738 fast 2 12.59
202738 normal 95 5918.76
202738 slow 96 4027.97
203076 fast 5 34.28
203076 normal 144 8446.39
203076 slow 145 6196.9
203078 fast 7 31.57
203078 normal 51 3005.77
203078 slow 52 1804.16
203079 fast 1 3.01
203079 normal 31 1236.26
203079 slow 32 870.05
203080 fast 0 0.0
203080 normal 53 1282.3
203080 slow 53 1073.83
203081 fast 5 15.31
203081 normal 113 5964.22
203081 slow 114 4035.6
203082 fast 4 25.78
203082 normal 66 3949.04
203082 slow 67 2205.51
203083 fast 3 9.77
203083 normal 129 5629.91
203083 slow 130 3965.55
203084 fast 27 144.95
203084 normal 136 67910.02
203084 slow 137 37922.8
203085 fast 0 0.0
203085 normal 75 4715.63
203085 slow 76 2502.38
203086 fast 0 0.0
203086 normal 115 4086.51
203086 slow 115 2962.91
203087 fast 8 20.99
203087 normal 118 6948.25
203087 slow 119 4107.92
203088 fast 0 0.0
203088 normal 70 1581.61
203088 slow 71 923.86
203089 fast 1 2.24
203089 normal 65 3383.07
